Solid5500_2014_11_07_1_L01-1-Idx_3-3.bam	Solid5500_2014_11_07_1_L01-1-Idx_4-4.bam	Solid5500_2014_11_07_1_L01-1-Idx_5-5.bam	Solid5500_2014_11_07_1_L01-1-Idx_6-6.bam	Solid5500_2014_11_07_1_L02-1-Idx_7-7.bam	Solid5500_2014_11_07_1_L02-1-Idx_8-8.bam	Solid5500_2014_11_07_1_L02-1-Idx_9-9.bam	Solid5500_2014_11_07_1_L02-1-Idx_10-10.bam	Solid5500_2014_11_07_1_L03-1-Idx_9-9.bam	Solid5500_2014_11_07_1_L03-1-Idx_10-10.bam	Solid5500_2014_11_07_1_L03-1-Idx_11-11.bam	Solid5500_2014_11_07_1_L03-1-Idx_12-12.bam
ENSDARG00000087434	0	0,948693683537204	0	0	0	0	0,88453109432182	0,51935512373303	0	0	0	0
ENSDARG00000081507	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000086113	8,7342256755369	6,64085578476043	16,0655061275803	2,96560289032385	6,90642767959756	3,7183362429362	12,3834353205055	6,7516166085294	3,07876873894281	8,02701025678102	18,4098287666182	14,4691399872721
ENSDARG00000087282	0	0	0,66939608864918	0	0	0	0	0	0	0	0	0
ENSDARG00000090396	7,64244746609479	12,3330178859836	16,0655061275803	23,7248231225908	20,7192830387927	23,0536847062045	19,45968407508	32,7193727951809	7,69692184735703	24,0810307703431	12,2732191777454	26,0444519770897
ENSDARG00000027397	3371,41111075724	2189,58502160387	2265,90576007747	2519,27965533011	2436,817899618	1729,02635296533	1818,59592992566	2044,18176701321	2133,58673608737	1404,72679493668	2474,07643258052	2044,0071755353
ENSDARG00000052482	464,005739012898	340,581032389856	489,32854080255	370,700361290481	507,62243445042	358,44761381905	415,729614331255	363,029231489388	449,50023588565	313,05340001446	510,361364141248	329,896391709803
ENSDARG00000086815	192,152964861812	260,890762972731	431,760477178721	336,595928051757	126,617840792622	250,6158627739	416,614145425577	468,977676730926	101,599368385113	169,905050435198	408,084537660036	308,674986395137
ENSDARG00000095647	9,82600388497901	6,64085578476043	4,01637653189508	1,48280144516192	5,75535639966463	5,94933798869792	8,8453109432182	3,11613074239818	0	13,3783504279684	2,04553652962424	2,89382799745441
ENSDARG00000092823	1,09177820944211	1,89738736707441	0,66939608864918	0	3,45321383979878	2,97466899434896	0	1,03871024746606	4,61815310841422	1,33783504279684	5,1138413240606	0,964609332484803
ENSDARG00000090099	2,18355641888422	0	0	0	1,15107127993293	0	0	0	0	1,33783504279684	0	0
ENSDARG00000091651	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000094276	1,09177820944211	0	0	1,48280144516192	0	0	0	0	0	0	0	0
ENSDARG00000093835	0	0	0,66939608864918	0	0	0	0	0	0	0	0	0
ENSDARG00000092666	0	0	0,66939608864918	0	0	0	0	0	0	0	0	0
ENSDARG00000095133	0	0	0	0	0	0	0	0	0	0	0	0,964609332484803
ENSDARG00000093987	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000094374	1,09177820944211	1,89738736707441	0	0	0	0	0	0	0	1,33783504279684	0	0
ENSDARG00000028912	0	0,948693683537204	0	0	0	0,74366724858724	0	0,51935512373303	0	0	0	0
ENSDARG00000097204	0	0	0	0	0	0,74366724858724	0	0	0	0	0	0
